Part,Value,Device,Package,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PACKAGE.1,TOLERANCE,VALUE.1,VOLTAGE,Column1
C22,100pF,C-USC0603,C0603,"CAPACITOR, American symbol",,GRM1555C1H470JA01D,,,,,,,
D1,MBRS130LT3,MBRS130LT3,SMB,Schottky Power Rectifier,,,,,,,,,
H1,MOUNT-HOLE3.0,MOUNT-HOLE3.0,"3,0",MOUNTING HOLE with drill center marker,,,,,,,,,
H2,MOUNT-HOLE3.0,MOUNT-HOLE3.0,"3,0",MOUNTING HOLE with drill center marker,,,,,,,,,
H3,MOUNT-HOLE3.0,MOUNT-HOLE3.0,"3,0",MOUNTING HOLE with drill center marker,,,,,,,,,
H4,MOUNT-HOLE3.0,MOUNT-HOLE3.0,"3,0",MOUNTING HOLE with drill center marker,,,,,,,,,
IC1,FT232RL,FT232RL,SSOP28,Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf,,FT232RL,1146032,91K9918,,,,,
IC2,TJA1051T/3,TJA1051T/3,SO8,IC CAN TRANSEIVER HS 8SOIC,,"TJA1051TK/3,118",,,,,,,
IC3,TH8056KDCA8,TH8056KDCA8,SO8,,,,,,,,,,
J1,ATSAMICE_CONN05-01-L-DV-K,ATSAMICE_CONN05-01-L-DV-K,FTSH-105-01-L-DV-K,"CONN HEADER 10POS DUAL .05 SMD""",,,,,,,,,
J2,UE27BC54130,UE27BC54130,UE27BCX4XXX,"USB - B USB 2.0 Receptacle Connector 4 Position Through Hole, Right Angle",,,,,,,,,
JP1,,JP1E,JP1,JUMPER,,,,,,,,,
L1,,L-US_FERRITE0805,L0805,,,MI0805K400R-10,,,,,,,
L2,47uH,L-USL1812,L1812,"INDUCTOR, American symbol",,,,,,,,,
LED1,YELLOW,LEDCHIP-LED0805,CHIP-LED0805,LED,,,,,,,,,
LED2,GREEN,LEDCHIP-LED0805,CHIP-LED0805,LED,,,,,,,,,
LED3,YELLOW,LEDCHIP-LED0805,CHIP-LED0805,LED,,,,,,,,,
LED4,GREEN,LEDCHIP-LED0805,CHIP-LED0805,LED,,,,,,,,,
LED5,YELLOW,LEDCHIP-LED0805,CHIP-LED0805,LED,,,,,,,,,
LED6,GREEN,LEDCHIP-LED0805,CHIP-LED0805,LED,,,,,,,,,
R1,1k,R-US_R0603,R0603,"RESISTOR, American symbol",,,,,,,,,
R2,330,R-US_R0603,R0603,"RESISTOR, American symbol",,,,,,,,,
R3,1M,R-US_R0603,R0603,"RESISTOR, American symbol",,,,,,,,,
R4,10k,R-US_R0603,R0603,"RESISTOR, American symbol",,RC0402FR-0710KL,,,,,,,
R5,330,R-US_R0603,R0603,"RESISTOR, American symbol",,,,,,,,,
R6,330,R-US_R0603,R0603,"RESISTOR, American symbol",,,,,,,,,
R7,330,R-US_R0603,R0603,"RESISTOR, American symbol",,,,,,,,,
R8,330,R-US_R0603,R0603,"RESISTOR, American symbol",,,,,,,,,
R9,330,R-US_R0603,R0603,"RESISTOR, American symbol",,,,,,,,,
R10,330,R-US_R0603,R0603,"RESISTOR, American symbol",,,,,,,,,
R11,330,R-US_R0603,R0603,"RESISTOR, American symbol",,,,,,,,,
R12,6k49,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,
R13,1k,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,,,,
R14,DNP,R-US_R0603,R0603,"RESISTOR, American symbol",,,,,,,,,
SW1,PTS645,PTS645,PTS645_SMT,,,,,,,,,,
SW2,PTS645,PTS645,PTS645_SMT,,,,,,,,,,
U1,SAMC21G18-AUT,SAMC21G18-AUT,TQFP48,edit this description,,,,,,,,,
X1,M09AMP,M09AMP,5788796-3,SUB-D,,,,,,,,,
XL1,,ECS-300-20-46X,HC-46X,,,,,,,,,,
ZD1,MMBZ27VCLT1G,MMBZ27VCLT1G,SOT23,TVS DIODE 22V 38V SOT23-3,,,,,,,,,
